# Redistribution-notice manifest for the bundled OCR runtime.
#
# bundle-tesseract.ps1 ships tesseract.exe plus every DLL beside it (50 today),
# enumerated rather than hand-listed so the copy set cannot rot when upstream
# changes its dependencies. The upstream installer supplies notices for two of
# those 51 binaries; this manifest accounts for the rest, and the build REFUSES
# if a shipped binary has no row here or its notice is missing.
#
# COLUMNS: file <TAB> component <TAB> spdx <TAB> notice <TAB> source <TAB> srcpkg
#   file      exact filename as shipped in resources/tesseract/
#   component upstream project (several files legitimately share one)
#   spdx      SPDX expression. "OR" = we may rely on any listed licence;
#             the notice file carries the text(s) that choice requires.
#   notice    filename under resources/tesseract/licenses/
#   source    upstream the notice text came from
#   srcpkg    where the source for THIS BINARY is published. Every DLL in the
#             installer is an MSYS2 mingw-w64 package build, and MSYS2 publishes
#             both the build recipe (the URL in this column) and a per-version
#             source package at
#             https://mirror.msys2.org/mingw/sources/<pkgbase>-<version>.src.tar.zst
#             The recipe URL is the durable half: the mirror carries the
#             versions currently packaged, and the pinned Tesseract build
#             freezes older ones.
#
# RULES:
#  - A dependency is never removed to simplify this file. Every component gets
#    a row, whatever its licence.
#  - Copyleft components are ordinary rows. The GCC runtime (GPL-3.0 WITH the
#    Runtime Library Exception) and the LGPL libraries are listed exactly like
#    the permissive ones; the source and srcpkg columns answer "where is the
#    source", and for the LGPL rows the relink option is available because each
#    is a separate dynamically loaded DLL.
#  - No GPL object code ships in this tree. libtiff is rebuilt without JBIG
#    support by scripts/build-libtiff-nojbig.ps1 so that libjbig-0.dll
#    (JBIG-KIT, GPL-2.0-or-later) is neither imported nor shipped; the bundler
#    refuses if any shipped binary references it.
#  - Keep sorted by filename so a diff against a fresh `Get-ChildItem` reads
#    cleanly.
#
file	component	spdx	notice	source	srcpkg
libLerc.dll	LERC	Apache-2.0	LICENSE-LERC.txt	https://github.com/Esri/lerc	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-lerc
libarchive-13.dll	libarchive	BSD-2-Clause	LICENSE-libarchive.txt	https://github.com/libarchive/libarchive	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-libarchive
libb2-1.dll	libb2 (BLAKE2)	CC0-1.0	LICENSE-libb2.txt	https://github.com/BLAKE2/libb2	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-libb2
libbrotlicommon.dll	Brotli	MIT	LICENSE-brotli.txt	https://github.com/google/brotli	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-brotli
libbrotlidec.dll	Brotli	MIT	LICENSE-brotli.txt	https://github.com/google/brotli	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-brotli
libbz2-1.dll	bzip2	bzip2-1.0.6	LICENSE-bzip2.txt	https://gitlab.com/bzip2/bzip2	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-bzip2
libcairo-2.dll	Cairo	LGPL-2.1-only OR MPL-1.1	LICENSE-cairo.txt	https://gitlab.freedesktop.org/cairo/cairo	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-cairo
libcrypto-3-x64.dll	OpenSSL	Apache-2.0	LICENSE-openssl.txt	https://github.com/openssl/openssl	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-openssl
libdatrie-1.dll	libdatrie	LGPL-2.1-or-later	LICENSE-libdatrie.txt	https://github.com/tlwg/libdatrie	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-libdatrie
libdeflate.dll	libdeflate	MIT	LICENSE-libdeflate.txt	https://github.com/ebiggers/libdeflate	https://github.com/msys2/MINGW-packages/tree/master/mingw-w64-libdeflate
